Sample,Cluster
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,2
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,2
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,6
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,5
3aHSDH%GENOME060426_131,7
3aHSDH%GENOME084620_3418,5
3aHSDH%GENOME084674_3322,4
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0
3aHSDH%MBS5502136_1_3-oxoacyl-ACP_reductase_FabG__Eggerthella_sp__,4
3aHSDH%MCI6529002_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,1
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,6
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,5
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,3
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,5
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,3
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,2
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,6
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,3
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,2
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,5
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,6
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,3
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,4
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,1
3aHSDH%WP_191282235_1_SDR_family_oxidoreductase__Pseudolysinimonas_yzui_,5
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,3
3aHSDH%WP_270208025_1_SDR_family_oxidoreductase__Eggerthella_lenta_,0
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,6
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,3
3bHSDH%GENOME124823_1686,6
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0
3bHSDH%MBS6779006_1_aldo_keto_reductase__Eggerthella_sp__,4
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,6
3bHSDH%WP_186937525_1_glucose_1-dehydrogenase__Eggerthella_hominis_,2
5AR%GENOME012336_2253,0
5AR%GENOME021742_2120,0
5AR%GENOME078645_81,1
5AR%GENOME084343_2181,1
5AR%GENOME086572_2986,1
5AR%GENOME140582_2251,4
5AR%GENOME142018_414,1
5AR%GENOME170052_106,0
5AR%GENOME179594_130,0
5AR%GENOME179896_434,5
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,1
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,4
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,4
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,3
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,0
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,1
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,0
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,2
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,1
5AR%WP_099292233_1_MULTISPECIES__DUF1295_domain-containing_protein__Butyricimonas_,1
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,1
5AR%WP_303226315_1_DUF1295_domain-containing_protein__Alistipes_indistinctus_,5
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,3
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,1
5BR%GENOME006024_4796,5
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,5
5BR%MBE6202772_1_NADH_flavin_oxidoreductase__Rikenellaceae_bacterium_,4
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,0
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,1
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,1
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,0
5BR%MCF0197806_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,5
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,6
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,1
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,5
5BR%MDD2293891_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,4
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0
5BR%MDD5962634_1_NADH_flavin_oxidoreductase__bacterium_,6
5BR%MDD6582580_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,5
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,4
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,3
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,1
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,1
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0
5BR%WP_297931268_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,5
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,3
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,2
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,1
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,4
7aHSDH%GENOME007043_1033,1
7aHSDH%GENOME011662_3430,1
7aHSDH%GENOME042562_3253,1
7aHSDH%GENOME070302_884,6
7aHSDH%GENOME080077_256,4
7aHSDH%GENOME086444_1757,1
7aHSDH%GENOME103762_694,0
7aHSDH%GENOME122758_282,6
7aHSDH%GENOME150027_3593,5
7aHSDH%GENOME215422_1346,6
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,6
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,1
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,7
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,2
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,6
7aHSDH%WP_003507641_1_7alpha-hydroxysteroid_dehydrogenase___Clostridium__symbiosum_,0
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,4
7aHSDH%WP_221221011_1_7-alpha-hydroxysteroid_dehydrogenase__Phenylobacterium_haematophilum_,4
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,4
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,0
7bHSDH%GENOME213756_525,4
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,6
BSH1%UPI0001B1C28E,5
BSH1%UPI0001DE6025,4
BSH1%UPI00022FF9E1,1
BSH1%UPI0002624191,1
BSH1%UPI000289C842,0
BSH1%UPI0002CB0E7D,1
BSH1%UPI00035D264B,1
BSH1%UPI0003A10C39,2
BSH1%UPI00041C4F56,0
BSH1%UPI00044AC395,3
BSH1%UPI0004BCDDD9,3
BSH1%UPI0004D69CD5,4
BSH1%UPI0004D6A0E9,1
BSH1%UPI0005DBBD01,3
BSH1%UPI00064A1F29,6
BSH1%UPI00073AFD00,5
BSH1%UPI00076E9CCB,4
BSH1%UPI0007933BD5,1
BSH1%UPI000801FF16,1
BSH1%UPI00093BFB8C,1
BSH1%UPI00095B1DAC,4
BSH1%UPI00095C7CBB,5
BSH1%UPI000A00C8F6,6
BSH1%UPI000BCCCB22,1
BSH1%UPI000BD3EFD5,4
BSH1%UPI000CD30963,1
BSH1%UPI000DCDF6FE,5
BSH2%UPI0000382136,5
BSH2%UPI0001534663,0
BSH2%UPI0001599717,3
BSH2%UPI0001971EB2,1
BSH2%UPI0001C1C05D,6
BSH2%UPI0001E69B03,4
BSH2%UPI0001FDAFAC,5
BSH2%UPI000335FD2D,1
BSH2%UPI00033874A8,4
BSH2%UPI00033AD64E,2
BSH2%UPI00033F049A,1
BSH2%UPI00038B932A,4
BSH2%UPI000396CDDF,7
BSH2%UPI000463FA77,4
BSH2%UPI0004B97954,4
BSH2%UPI00050FFCF5,1
BSH2%UPI0005738721,4
BSH2%UPI0005D317A6,3
BSH2%UPI0005DCCFF2,2
BSH2%UPI0006649122,5
BSH2%UPI0006A496D2,4
BSH2%UPI0006BFFEB7,0
BSH2%UPI0006C043E9,4
BSH2%UPI0006C0EB58,6
BSH2%UPI0006C1ADDE,1
BSH2%UPI0006C23C60,2
BSH2%UPI0006C28698,1
BSH2%UPI0006C45BC8,0
BSH2%UPI0006C4A6B6,0
BSH2%UPI0006C52F45,4
BSH2%UPI0006C5C844,4
BSH2%UPI0006CAB5AD,6
BSH2%UPI0006CABE2C,3
BSH2%UPI00082062C1,3
BSH2%UPI000820857A,5
BSH2%UPI000820B778,1
BSH2%UPI000820F666,2
BSH2%UPI000821232B,2
BSH2%UPI0008219BA0,5
BSH2%UPI000821B1D8,1
BSH2%UPI000821B9AC,6
BSH2%UPI000821FD65,1
BSH2%UPI0008222B5A,1
BSH2%UPI000822F9A5,2
BSH2%UPI0008230885,1
BSH2%UPI00082332C0,2
BSH2%UPI000960BD65,4
BSH2%UPI000961A2BF,4
BSH2%UPI000966A84B,0
BSH2%UPI00096829BD,7
BSH2%UPI0009698BA7,2
BSH2%UPI0009C3B121,3
BSH2%UPI000B3674FC,2
BSH2%UPI000B431D75,1
BSH2%UPI000C84F661,4
BSH2%UPI000D1261F9,6
BSH2%UPI000D58F0CE,1
BSH2%UPI000D7ABA35,0
BSH2%UPI000D7ADB68,0
BSH2%UPI000DF74F5E,2
BSH2%UPI000E40484B,3
BSH2%UPI000E42566B,1
BSH2%UPI000E4418E2,1
BSH2%UPI000E4BF981,1
BSH2%UPI000E53BC4B,5
BSH2%UPI000E53DAEE,6
BSH2%UPI000E54458D,1
BSH2%UPI000E8E16B0,0
BSH2%UPI000E92006C,5
BSH2%UPI000E9C22D0,7
BSH2%UPI000ECC9F84,0
BSH2%UPI000EE4CDBB,0
BSH2%UPI000EE93911,0
BSH3%UPI000156F498,4
BSH3%UPI00016547A5,2
BSH3%UPI00017EF3F1,0
BSH3%UPI0001A5F983,4
BSH3%UPI0002132A6C,3
BSH3%UPI000238BE2F,5
BSH3%UPI00080CB216,4
BSH3%UPI00092A5378,1
BSH3%UPI000CF406F5,2
BSH3%UPI000E5302B4,1
BSH3%UPI000E902C94,0
BSH3%UPI000EF23C17,7
BSH3%UPI000F9DAF5F,4
BSH4%UPI0001653940,6
BSH4%UPI0001E65842,7
BSH4%UPI0001FAB233,0
BSH4%UPI00033C4A83,4
BSH4%UPI00033DD6E6,1
BSH4%UPI0006BEFACE,7
BSH4%UPI0006C4E127,2
BSH4%UPI000822CCAE,2
BSH4%UPI000B374259,4
BSH4%UPI000D27EFA9,2
BSH4%UPI000D7B199F,5
BSH4%UPI000E447F2E,1
BSH4%UPI000E54B9B5,1
BaiA%QinJ_2012__T2D-016__bin_41_fa_BDDCEIPF_01842__3alpha-hydroxy_bile_acid-CoA-ester_3-dehydrogenase_2,7
BaiA%SRR3992974_bin_8_EOPEKEED_01051__3-oxoacyl-_acyl-carrier-protein__reductase_FabG,4
BaiA%SRR5558193_bin_68_NNEAJJHP_00384__3alpha-hydroxy_bile_acid-CoA-ester_3-dehydrogenase_2,1
BaiA%bai_cluster_3%midas_Clostridium_hylemonae_61789%Clostridium_hylemonae_61789|NZ_GG657759_1098,1
BaiB%CosteaPI_2017__SID713A038-11-90-0__bin_26_fa_FGHNBBEK_00429__Bile_acid-coenzyme_A_ligase,3
BaiB%LiJ_2014__V1_FI04__bin_94_fa_MJMNNJHI_01032__Bile_acid-coenzyme_A_ligase,4
BaiB%MDY5565236_1_bile_acid--CoA_ligase_BaiB__Candidatus_Limivicinus_sp__,1
BaiB%SRR2992899_bin_23_LIJELFFN_00493__Bile_acid-coenzyme_A_ligase,4
BaiB%WP_286151641_1_bile_acid--CoA_ligase_BaiB__Sporofaciens_musculi_,3
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,7
BaiB%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_871,1
BaiCD%CosteaPI_2017__SID713A014-11-0-0__bin_55_fa_OLFEPFFO_00187__NADH_oxidase,5
BaiCD%MCI8583944_1_FAD-dependent_oxidoreductase__Dorea_sp__,5
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,2
BaiCD%RaymondF_2016__P21E7__bin_22_fa_DDJCLBHB_00368__NADH_oxidase,1
BaiCD%XieH_2016__YSZC12003_35390__bin_5_fa_PIKIEFGP_00577__NADH_oxidase,3
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,7
BaiCD%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3076,1
BaiCD%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_2937,5
BaiE%FengQ_2015__SID531416__bin_49_fa_CEDOFBAM_00064__Bile_acid_7-alpha_dehydratase,1
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,1
BaiE%MCI8938768_1_nuclear_transport_factor_2_family_protein__Dorea_sp__,0
BaiE%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3079,7
BaiE%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_166,1
BaiF%ERR688512_bin_36_KMFCMBJN_00514__Bile_acid-CoA_transferase,1
BaiF%KarlssonFH_2013__S54__bin_27_fa_BBGPADBL_00031__Bile_acid-CoA_transferase,4
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,2
BaiF%SRR4783510_bin_28_GHBMCCFK_00008__L-carnitine_CoA-transferase,2
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,5
BaiF%VogtmannE_2016__MMRS44587603ST-27-0-0__bin_19_fa_ANDGAOCL_00015__Bile_acid-CoA_transferase,1
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,2
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_10986,7
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_13110,1
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,2
BaiG%LeChatelierE_2013__MH0251__bin_10_fa_BOBEKBFD_00006__Multidrug_resistance_protein_3,1
BaiG%MBE6987074_1_MFS_transporter__Oscillospiraceae_bacterium_,3
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,5
BaiG%MDY4488523_1_MFS_transporter__Candidatus_Limivicinus_sp__,2
BaiG%MEE1256339_1_MFS_transporter__Lachnospiraceae_bacterium_,1
BaiG%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3097,1
BaiH%ERR1018252_bin_5_JFGOJLKC_00141__NADH_oxidase,5
BaiH%LiJ_2014__MH0370__bin_37_fa_CDDPILMH_00099__NADH_oxidase,0
BaiH%MEE0204071_1_FAD-dependent_oxidoreductase__Oscillospiraceae_bacterium_,4
BaiH%MFR3389927_1_7-beta-dihydroxy-3-oxo-5-beta-cholanoyl-CoA_4-oxidoreductase_BaiH___Clostridium__scindens_,1
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,2
BaiH%SRR5558156_bin_44_CPDFCOML_01071__NADH_oxidase,2
BaiH%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_308,7
BaiH%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_310,5
BaiH%bai_cluster_17%midas_Proteocatella_sphenisci_59007%Proteocatella_sphenisci_59007|AUID01000012_928,2
BaiH%bai_cluster_3%midas_Clostridium_hylemonae_61789%Clostridium_hylemonae_61789|NZ_GG657759_22762,7
BaiI%QinJ_2012__CON-070__bin_41_fa_AAAKDJOM_00400__hypothetical_protein,2
BaiI%WP_279004450_1_nuclear_transport_factor_2_family_protein__partial___Clostridium__scindens_,6
